Programme_Title,Original_DateTime,Show_DateTime,Venue,Category,Latitude,Longitude
FWD Insurance presents Jacky Cheung A Classic Tour - Finale‧Hong Kong,"11-13 (Fri-Sun), 15-17 (Tue - Thu), 19-21 (Sat-Mon), 23-25(Wed-Fri), 27-29 (Sun-Tue) Jan 2019 8:15pm",2019-01-29 8:15pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
FWD Fear And Dreams Eason Chan In Concert 19/20 (Programme cancelled),"9-12, 14-17, 19-22, 24-27, 29-30, 31 December 2019 (9:30pm), 1 January 2020",2019-01-30 8:00pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
Oldies Concert,"31 Jan 2019 (Thu) 2:00pm, 7:00pm",2019-01-31 14:00pm,North District Town Hall (Auditorium),Cultural Presentations & Film - Pop Concerts,22.498,114.128
Oldies Concert,"31 Jan 2019 (Thu) 2:00pm, 7:00pm",2019-01-31 19:00pm,North District Town Hall (Auditorium),Cultural Presentations & Film - Pop Concerts,22.498,114.128
Oldies Concert,2 Feb 2019 (Sat) 2:15pm & 7:15pm,2019-02-02 2:15pm,Ko Shan Theatre (New Wing Auditorium),Cultural Presentations & Film - Pop Concerts,22.3376,114.1938
Oldies Concert,2 Feb 2019 (Sat) 2:15pm & 7:15pm,2019-02-02 7:15pm,Ko Shan Theatre (New Wing Auditorium),Cultural Presentations & Film - Pop Concerts,22.3376,114.1938
Pop Concert,3 Feb 2019 (Sun) 2:15pm,2019-02-03 2:15pm,Ngau Chi Wan Civic Centre (Theatre),Cultural Presentations & Film - Pop Concerts,22.314,114.229
Starry Starry Night,3 Feb 2019 (Sun) 8:00pm,2019-02-03 8:00pm,Sai Wan Ho Civic Centre (Theatre),Cultural Presentations & Film - Pop Concerts,22.281,114.203
FWD presents Ronald Cheng ONE MORE TIME World Tour Live – Hong Kong,"4 & 6 Feb 2019 (Mon & Wed) 9:30pm, 5 & 8 Feb 2019 (Tue & Fri) 8:15pm",2019-02-04 20:15pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
FWD presents Ronald Cheng ONE MORE TIME World Tour Live – Hong Kong,"4 & 6 Feb 2019 (Mon & Wed) 9:30pm, 5 & 8 Feb 2019 (Tue & Fri) 8:15pm",2019-02-04 21:30pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
FWD presents Ronald Cheng ONE MORE TIME World Tour Live – Hong Kong,"4 & 6 Feb 2019 (Mon & Wed) 9:30pm, 5 & 8 Feb 2019 (Tue & Fri) 8:15pm",2019-02-05 20:15pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
FWD presents Ronald Cheng ONE MORE TIME World Tour Live – Hong Kong,"4 & 6 Feb 2019 (Mon & Wed) 9:30pm, 5 & 8 Feb 2019 (Tue & Fri) 8:15pm",2019-02-05 21:30pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
FWD presents Ronald Cheng ONE MORE TIME World Tour Live – Hong Kong,"4 & 6 Feb 2019 (Mon & Wed) 9:30pm, 5 & 8 Feb 2019 (Tue & Fri) 8:15pm",2019-02-06 20:15pm,Hong Kong Coliseum (Arena),Cultural Presentations & Film - Pop Concerts,22.3019,114.1823
