名称,大类,经度,纬度,省份,地级市,区县,lon_round,lat_round,cell
机场一号客运大楼,交通设施,113.940575,22.314149,香港特别行政区,香港特别行政区,离岛区,113.941,22.314,113.941_22.314
机场客运大楼,交通设施,113.94054,22.314,香港特别行政区,香港特别行政区,离岛区,113.941,22.314,113.941_22.314
畅达路,交通设施,113.940503,22.313958,香港特别行政区,香港特别行政区,离岛区,113.941,22.314,113.941_22.314
香港机场的土站,交通设施,113.940511,22.31584,香港特别行政区,香港特别行政区,离岛区,113.941,22.316,113.941_22.316
上岭皮,交通设施,113.942106,22.275909,香港特别行政区,香港特别行政区,离岛区,113.942,22.276,113.942_22.276
逸东村雍逸楼,交通设施,113.941935,22.276649,香港特别行政区,香港特别行政区,离岛区,113.942,22.277,113.942_22.277
"逸东村雍逸楼,裕东路",交通设施,113.941933,22.276679,香港特别行政区,香港特别行政区,离岛区,113.942,22.277,113.942_22.277
逸东村居逸楼,交通设施,113.941688,22.279636,香港特别行政区,香港特别行政区,离岛区,113.942,22.28,113.942_22.28
"逸东村居逸楼,逸东街",交通设施,113.941644,22.279607,香港特别行政区,香港特别行政区,离岛区,113.942,22.28,113.942_22.28
一号及二号客运大楼，畅达路,交通设施,113.941719,22.310374,香港特别行政区,香港特别行政区,离岛区,113.942,22.31,113.942_22.31
机场巴士总站,交通设施,113.942334,22.309683,香港特别行政区,香港特别行政区,离岛区,113.942,22.31,113.942_22.31
畅达路一号停车场,交通设施,113.942013,22.310278,香港特别行政区,香港特别行政区,离岛区,113.942,22.31,113.942_22.31
一号及二号客运大楼,交通设施,113.941785,22.31051,香港特别行政区,香港特别行政区,离岛区,113.942,22.311,113.942_22.311
香港国际机场T2航站楼,交通设施,113.942212,22.312486,香港特别行政区,香港特别行政区,离岛区,113.942,22.312,113.942_22.312
二号客运大楼,交通设施,113.941613,22.313239,香港特别行政区,香港特别行政区,离岛区,113.942,22.313,113.942_22.313
机场二号客运大楼,交通设施,113.941628,22.313273,香港特别行政区,香港特别行政区,离岛区,113.942,22.313,113.942_22.313
旅游车总站,交通设施,113.941917,22.314284,香港特别行政区,香港特别行政区,离岛区,113.942,22.314,113.942_22.314
旅游车轮候区,交通设施,113.941589,22.315318,香港特别行政区,香港特别行政区,离岛区,113.942,22.315,113.942_22.315
东涌坳管理站,交通设施,113.94258,22.260247,香港特别行政区,香港特别行政区,离岛区,113.943,22.26,113.943_22.26
大屿山郊野公园东涌坳管理站,交通设施,113.942617,22.260184,香港特别行政区,香港特别行政区,离岛区,113.943,22.26,113.943_22.26
逸东村1号专用停车场,交通设施,113.943305,22.278088,香港特别行政区,香港特别行政区,离岛区,113.943,22.278,113.943_22.278
东涌缆车站,交通设施,113.94339,22.287244,香港特别行政区,香港特别行政区,离岛区,113.943,22.287,113.943_22.287
民航处总部,交通设施,113.943464,22.300785,香港特别行政区,香港特别行政区,离岛区,113.943,22.301,113.943_22.301
内河码头,交通设施,113.942773,22.365468,香港特别行政区,香港特别行政区,屯门区,113.943,22.365,113.943_22.365
